Group,Female,Hsgpa,ACT,SAT,Sem1gpa,Alg_A,Alg_DFW,CAT_pre,CAT_post,CAT_delta,ENGR_persist,INST_persist,On_Track_2,On_Track_3,On_Track_4,No_Math_4
Exp,1,3.81,,,2.5,0,0,7,10,3,0,0,1,0,0,1
Exp,0,3.3,,,3.4444,0,0,15,15,0,0,1,1,0,0,1
Exp,0,2.6,23,,3.2,0,0,14,17,3,0,1,1,1,0,1
Exp,0,3.88,,,1.7857,0,0,17,20,3,1,1,1,1,1,0
Exp,0,4.2,24,,3.8667,1,0,11,24,13,1,1,1,1,1,0
Exp,0,3.46,25,,3.5333,0,0,7,13,6,0,0,1,0,0,1
Exp,0,4.48,25,,3.5909,1,0,25,25,0,1,1,1,1,0,1
Exp,0,4.3,24,,4,1,0,2,17,15,1,1,1,1,1,0
Exp,0,3.75,25,,3.2,1,0,14,16,2,1,1,1,1,0,1
Exp,0,3.04,25,,2.1429,0,0,9,18,9,0,1,0,0,0,1
Exp,0,3.18,23,460,2.8571,0,0,17,26,9,1,1,1,1,0,0
Exp,1,3.7,,,3,0,0,22,27,5,1,1,1,1,1,0
Exp,1,4.3,24,,3.73,1,0,18,20,2,0,0,1,1,0.00,1
Exp,0,3.38,,,2.62,0,0,12,13,1,0,1,1,0,0,1
Exp,0,4.02,25,,3.4118,0,0,17,26,9,1,1,1,1,1,0
Exp,0,3.49,24,,3.3333,0,0,16,21,5,1,1,1,1,1,0
Exp,0,3.71,20,,3.2727,0,0,10,16,6,1,1,1,1,1,0
Exp,0,4.35,22,,3.5238,1,0,10,12,2,1,1,1,1,1,0
Exp,0,3.91,24,,3.6667,1,0,12,26,14,0,0,1,0,0,1
Exp,0,3.89,25,,3.5385,0,0,18,27,9,0,1,0,0,0,1
Exp,0,3.75,25,,2.2667,0,0,6,9,3,1,1,1,1,0,0
Exp,0,3.09,,,2.7143,1,0,9,19,10,1,1,1,1,1,0
Exp,0,3.47,25,,3.07,0,0,15,21,6,0,1,0,0,0,1
Exp,0,3.88,,,3.6,1,0,9,21,12,1,1,1,1,1,0
Exp,0,3.75,,,3.7143,1,0,15,16,1,1,1,1,1,1,0
Exp,1,3.36,18,,2,0,1,10,14,4,0,0,0,0,0.00,1
Exp,0,3.38,,550,3.8333,1,0,12,11,-1,1,1,1,1,1,0
Control,0,3.59,25,,2.6429,0,1,,,,0,0,0,0,0,1
Control,0,3.08,25,,,0,1,,,,0,0,0,0,0,1
Control,0,3.14,,,1.5294,0,1,,,,0,0,0,0,0,1
Control,1,3.89,,,3.4167,1,0,,,,0,0,1,1,1,0
Control,0,3.78,,,3.8333,1,0,,,,1,1,1,1,1,0
Control,0,3.27,,400,0.25,0,1,,,,0,0,0,0,0,1
Control,1,4,,,3.7692,1,0,,,,1,1,1,1,1,0
Control,0,2.84,,,2.4286,0,0,,,,0,0,1,0,0,1
Control,1,4,,,,1,0,,,,1,1,1,1,1,0
Control,1,3.86,,,3.5833,0,0,,,,1,1,1,1,1,0
Control,0,4,,,2.9333,0,0,,,,1,1,1,1,1,0
Control,0,3,,,3.4667,1,0,,,,1,1,1,1,1,0
Control,0,3.27,,,2.2308,0,0,,,,1,1,1,0,1,0
Control,0,3.92,,560,3.8571,1,0,,,,1,1,1,1,1,0
Control,0,4.02,,550,3.7333,1,0,,,,1,1,1,1,1,0
Control,0,3.3,,480,2.4286,0,1,,,,0,0,0,0,0,1
Control,1,3.14,,,2.5,0,0,,,,0,0,1,1,1,0
Control,0,2.95,,,3.7143,1,0,,,,1,1,1,1,1,0
Control,0,3.67,,,4,1,0,,,,1,1,1,1,1,0
Control,0,3.41,,,1.6154,1,0,,,,1,1,1,1,0,0
Control,0,3.22,,,4,1,0,,,,1,1,1,1,1,0
Control,0,4,,,,0,0,,,,0,0,0,0,0,1
Control,0,3.17,,,3.4286,1,0,,,,1,1,1,1,1,0
Control,0,2.67,,,2,0,0,,,,1,1,1,1,1,0
Control,0,3.4,25,490,3.4667,1,0,,,,1,1,1,1,1,0
Control,0,3.62,25,,2.5882,0,0,,,,0,0,1,0,0,1
Control,0,2.95,,,,0,1,,,,0,0,0,0,0,1
Control,0,4.18,24,,3.5,0,0,,,,0,1,1,1,0,0
Control,0,3.4,,,,0,0,,,,0,0,0,0,0,1
Control,0,3.43,25,,0.4286,0,0,,,,0,0,1,0,0,1
Control,0,2.77,,,,0,0,,,,0,0,0,0,0,1
Control,1,4.38,21,,3.8824,1,0,,,,0,1,1,1,0,0
Control,0,3.77,22,,,0,1,,,,0,0,0,0,0,1
Control,0,3.75,,,3.75,1,0,,,,1,1,1,1,1,0
Control,0,4.03,24,,3.1333,1,0,,,,1,1,1,1,1,0
Control,0,3.79,22,,,1,0,,,,0,0,1,0,0,1
Control,0,3.21,25,,0.75,0,1,,,,0,0,0,0,0,1
Control,0,3.73,,,3.2667,0,0,,,,1,1,1,1,1,0
